"PM2.5","OP","OP_lower","OP_upper"
5.3,0.134654782088096,0.112024679638362,0.157284884537829
10.5191919191919,0.267256508607857,0.222341340528665,0.31217167668705
15.7383838383838,0.399858235127619,0.332658001418967,0.467058468836271
20.9575757575758,0.532459961647381,0.44297466230927,0.621945260985492
26.1767676767677,0.665061688167143,0.553291323199573,0.776832053134713
31.3959595959596,0.797663414686904,0.663607984089875,0.931718845283934
36.6151515151515,0.930265141206666,0.773924644980178,1.08660563743315
41.8343434343434,1.06286686772643,0.88424130587048,1.24149242958238
47.0535353535354,1.19546859424619,0.994557966760783,1.3963792217316
52.2727272727273,1.32807032076595,1.10487462765109,1.55126601388082
57.4919191919192,1.46067204728571,1.21519128854139,1.70615280603004
62.7111111111111,1.59327377380547,1.32550794943169,1.86103959817926
67.930303030303,1.72587550032524,1.43582461032199,2.01592639032848
73.149494949495,1.858477226845,1.5461412712123,2.1708131824777
78.3686868686869,1.99107895336476,1.6564579321026,2.32569997462692
83.5878787878788,2.12368067988452,1.7667745929929,2.48058676677614
88.8070707070707,2.25628240640428,1.8770912538832,2.63547355892536
94.0262626262626,2.38888413292405,1.98740791477351,2.79036035107459
99.2454545454545,2.52148585944381,2.09772457566381,2.94524714322381
104.464646464646,2.65408758596357,2.20804123655411,3.10013393537303
109.683838383838,2.78668931248333,2.31835789744441,3.25502072752225
114.90303030303,2.91929103900309,2.42867455833472,3.40990751967147
120.122222222222,3.05189276552285,2.53899121922502,3.56479431182069
125.341414141414,3.18449449204262,2.64930788011532,3.71968110396991
130.560606060606,3.31709621856238,2.75962454100562,3.87456789611913
135.779797979798,3.44969794508214,2.86994120189593,4.02945468826835
140.99898989899,3.5822996716019,2.98025786278623,4.18434148041757
146.218181818182,3.71490139812166,3.09057452367653,4.3392282725668
151.437373737374,3.84750312464142,3.20089118456683,4.49411506471602
156.656565656566,3.98010485116119,3.31120784545714,4.64900185686524
161.875757575758,4.11270657768095,3.42152450634744,4.80388864901446
167.09494949495,4.24530830420071,3.53184116723774,4.95877544116368
172.314141414141,4.37791003072047,3.64215782812805,5.1136622333129
177.533333333333,4.51051175724023,3.75247448901835,5.26854902546212
182.752525252525,4.64311348376,3.86279114990865,5.42343581761134
187.971717171717,4.77571521027976,3.97310781079895,5.57832260976056
193.190909090909,4.90831693679952,4.08342447168926,5.73320940190978
198.410101010101,5.04091866331928,4.19374113257956,5.888096194059
203.629292929293,5.17352038983904,4.30405779346986,6.04298298620822
208.848484848485,5.3061221163588,4.41437445436016,6.19786977835745
214.067676767677,5.43872384287857,4.52469111525047,6.35275657050667
219.286868686869,5.57132556939833,4.63500777614077,6.50764336265589
224.506060606061,5.70392729591809,4.74532443703107,6.66253015480511
229.725252525253,5.83652902243785,4.85564109792137,6.81741694695433
234.944444444444,5.96913074895761,4.96595775881168,6.97230373910355
240.163636363636,6.10173247547737,5.07627441970198,7.12719053125277
245.382828282828,6.23433420199714,5.18659108059228,7.28207732340199
250.60202020202,6.3669359285169,5.29690774148258,7.43696411555121
255.821212121212,6.49953765503666,5.40722440237289,7.59185090770043
261.040404040404,6.63213938155642,5.51754106326319,7.74673769984966
266.259595959596,6.76474110807618,5.62785772415349,7.90162449199888
271.478787878788,6.89734283459595,5.73817438504379,8.0565112841481
276.69797979798,7.02994456111571,5.8484910459341,8.21139807629732
281.917171717172,7.16254628763547,5.9588077068244,8.36628486844654
287.136363636364,7.29514801415523,6.0691243677147,8.52117166059576
292.355555555556,7.42774974067499,6.179441028605,8.67605845274498
297.574747474747,7.56035146719475,6.28975768949531,8.8309452448942
302.793939393939,7.69295319371452,6.40007435038561,8.98583203704342
308.013131313131,7.82555492023428,6.51039101127591,9.14071882919264
313.232323232323,7.95815664675404,6.62070767216622,9.29560562134187
318.451515151515,8.0907583732738,6.73102433305652,9.45049241349109
323.670707070707,8.22336009979356,6.84134099394682,9.60537920564031
328.889898989899,8.35596182631332,6.95165765483712,9.76026599778953
334.109090909091,8.48856355283309,7.06197431572742,9.91515278993875
339.328282828283,8.62116527935285,7.17229097661773,10.070039582088
344.547474747475,8.75376700587261,7.28260763750803,10.2249263742372
349.766666666667,8.88636873239237,7.39292429839833,10.3798131663864
354.985858585859,9.01897045891213,7.50324095928864,10.5346999585356
360.205050505051,9.1515721854319,7.61355762017894,10.6895867506849
365.424242424242,9.28417391195166,7.72387428106924,10.8444735428341
370.643434343434,9.41677563847142,7.83419094195954,10.9993603349833
375.862626262626,9.54937736499118,7.94450760284985,11.1542471271325
381.081818181818,9.68197909151094,8.05482426374015,11.3091339192817
386.30101010101,9.81458081803071,8.16514092463045,11.464020711431
391.520202020202,9.94718254455046,8.27545758552075,11.6189075035802
396.739393939394,10.0797842710702,8.38577424641106,11.7737942957294
401.958585858586,10.21238599759,8.49609090730136,11.9286810878786
407.177777777778,10.3449877241098,8.60640756819166,12.0835678800278
412.39696969697,10.4775894506295,8.71672422908197,12.2384546721771
417.616161616162,10.6101911771493,8.82704088997227,12.3933414643263
422.835353535354,10.742792903669,8.93735755086257,12.5482282564755
428.054545454545,10.8753946301888,9.04767421175287,12.7031150486247
433.273737373737,11.0079963567086,9.15799087264317,12.8580018407739
438.492929292929,11.1405980832283,9.26830753353348,13.0128886329232
443.712121212121,11.2731998097481,9.37862419442378,13.1677754250724
448.931313131313,11.4058015362678,9.48894085531408,13.3226622172216
454.150505050505,11.5384032627876,9.59925751620438,13.4775490093708
459.369696969697,11.6710049893074,9.70957417709469,13.63243580152
464.588888888889,11.8036067158271,9.81989083798499,13.7873225936693
469.808080808081,11.9362084423469,9.93020749887529,13.9422093858185
475.027272727273,12.0688101688667,10.0405241597656,14.0970961779677
480.246464646465,12.2014118953864,10.1508408206559,14.2519829701169
485.465656565657,12.3340136219062,10.2611574815462,14.4068697622662
490.684848484848,12.4666153484259,10.3714741424365,14.5617565544154
495.90404040404,12.5992170749457,10.4817908033268,14.7166433465646
501.123232323232,12.7318188014655,10.5921074642171,14.8715301387138
506.342424242424,12.8644205279852,10.7024241251074,15.026416930863
511.561616161616,12.997022254505,10.8127407859977,15.1813037230123
516.780808080808,13.1296239810247,10.923057446888,15.3361905151615
522,13.2622257075445,11.0333741077783,15.4910773073107
